,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled
867,c-o-7,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
963,c-o-8,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
1059,c-p-1,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
1155,c-s-1,X-coord,-1.0-1.0,0.75,1403.0,17.0,1.1971830985915493
1251,n-o-1,X-coord,-1.0-1.0,0.75,1416.0,4.0,0.28169014084507044
1347,n-o-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
1443,n-o-3,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
1539,n-o-4,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
1635,n-o-5,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
1731,n-o-6,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
1827,p-n-1,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
1923,p-n-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
2019,p-n-3,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
2115,p-n-4,X-coord,-1.0-1.0,0.75,1308.0,112.0,7.887323943661972
2211,p-o-10,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
2307,p-o-11,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
2403,p-o-12,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
2499,p-o-13,X-coord,-1.0-1.0,0.75,1316.0,104.0,7.323943661971831
2595,p-o-14,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
2691,p-o-15,X-coord,-1.0-1.0,0.75,979.0,441.0,31.056338028169016
2787,p-o-16,X-coord,-1.0-1.0,0.75,1331.0,89.0,6.267605633802817
2883,p-o-17,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
2979,p-o-18,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
3075,p-o-19,X-coord,-1.0-1.0,0.75,1318.0,102.0,7.183098591549296
3171,p-o-20,X-coord,-1.0-1.0,0.75,1333.0,87.0,6.126760563380282
3267,p-o-21,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
3363,p-o-22,X-coord,-1.0-1.0,0.75,1304.0,116.0,8.169014084507042
3459,p-o-23,X-coord,-1.0-1.0,0.75,1246.0,174.0,12.253521126760564
3555,p-o-24,X-coord,-1.0-1.0,0.75,1190.0,230.0,16.197183098591548
3651,p-o-25,X-coord,-1.0-1.0,0.75,1304.0,116.0,8.169014084507042
3747,p-o-26,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
3843,p-o-27,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
3939,p-o-28,X-coord,-1.0-1.0,0.75,1201.0,219.0,15.422535211267606
4035,p-o-29,X-coord,-1.0-1.0,0.75,1335.0,85.0,5.985915492957746
4131,p-o-30,X-coord,-1.0-1.0,0.75,1252.0,168.0,11.830985915492958
4227,p-o-31,X-coord,-1.0-1.0,0.75,1388.0,32.0,2.2535211267605635
4323,p-o-32,X-coord,-1.0-1.0,0.75,1134.0,286.0,20.140845070422536
4419,p-o-33,X-coord,-1.0-1.0,0.75,1202.0,218.0,15.352112676056338
4515,p-o-34,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
4611,p-o-35,X-coord,-1.0-1.0,0.75,1211.0,209.0,14.71830985915493
4707,p-o-36,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
4803,p-o-37,X-coord,-1.0-1.0,0.75,1396.0,24.0,1.6901408450704225
4899,p-o-38,X-coord,-1.0-1.0,0.75,1127.0,293.0,20.633802816901408
4995,p-o-39,X-coord,-1.0-1.0,0.75,1135.0,285.0,20.070422535211268
5091,p-o-40,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
5187,p-o-41,X-coord,-1.0-1.0,0.75,1163.0,257.0,18.098591549295776
5283,p-o-42,X-coord,-1.0-1.0,0.75,1318.0,102.0,7.183098591549296
5379,p-o-43,X-coord,-1.0-1.0,0.75,986.0,434.0,30.56338028169014
5475,p-o-44,X-coord,-1.0-1.0,0.75,1286.0,134.0,9.43661971830986
5571,p-o-45,X-coord,-1.0-1.0,0.75,1150.0,270.0,19.014084507042252
5667,p-o-46,X-coord,-1.0-1.0,0.75,1045.0,375.0,26.408450704225352
5763,p-o-47,X-coord,-1.0-1.0,0.75,1217.0,203.0,14.295774647887324
5859,p-o-48,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
5955,p-o-8,X-coord,-1.0-1.0,0.75,1155.0,265.0,18.661971830985916
6051,p-o-9,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
4,c-n-1,X-coord,-1.0-1.0,1.0,1391.0,29.0,2.0422535211267605
100,c-n-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
196,c-n-3,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
292,c-o-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
388,c-o-2,X-coord,-1.0-1.0,1.0,1289.0,131.0,9.225352112676056
484,c-o-3,X-coord,-1.0-1.0,1.0,1400.0,20.0,1.408450704225352
580,c-o-4,X-coord,-1.0-1.0,1.0,1168.0,252.0,17.746478873239436
676,c-o-5,X-coord,-1.0-1.0,1.0,1251.0,169.0,11.901408450704226
772,c-o-6,X-coord,-1.0-1.0,1.0,1206.0,214.0,15.070422535211268
868,c-o-7,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
964,c-o-8,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1060,c-p-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1156,c-s-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1252,n-o-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1348,n-o-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1444,n-o-3,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1540,n-o-4,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1636,n-o-5,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1732,n-o-6,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1828,p-n-1,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
1924,p-n-2,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
2020,p-n-3,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
2116,p-n-4,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
2212,p-o-10,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
2308,p-o-11,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
2404,p-o-12,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
2500,p-o-13,X-coord,-1.0-1.0,1.0,1337.0,83.0,5.845070422535211
2596,p-o-14,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
2692,p-o-15,X-coord,-1.0-1.0,1.0,1069.0,351.0,24.718309859154928
2788,p-o-16,X-coord,-1.0-1.0,1.0,1384.0,36.0,2.535211267605634
2884,p-o-17,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
2980,p-o-18,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
3076,p-o-19,X-coord,-1.0-1.0,1.0,1368.0,52.0,3.6619718309859155
3172,p-o-20,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
3268,p-o-21,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
3364,p-o-22,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
3460,p-o-23,X-coord,-1.0-1.0,1.0,1332.0,88.0,6.197183098591549
