,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled,Unnamed: 0,Coefficient,Weighted_percent_filled
3194,p-o-45,Y-coord,-1.0-1.0,0.25,1052.0,368.0,25.91549295774648,49,0.2543773660034175,6.5923148372716645
3195,p-o-46,Y-coord,-1.0-1.0,0.25,1017.0,403.0,28.380281690140844,49,0.2543773660034175,7.2193013027730455
3196,p-o-47,Y-coord,-1.0-1.0,0.25,1047.0,373.0,26.267605633802816,49,0.2543773660034175,6.68188433234329
3197,p-o-48,Y-coord,-1.0-1.0,0.25,1165.0,255.0,17.95774647887324,49,0.2543773660034175,4.56804424865292
3198,p-o-8,Y-coord,-1.0-1.0,0.25,1097.0,323.0,22.746478873239436,49,0.2543773660034175,5.786189381627032
3199,p-o-9,Y-coord,-1.0-1.0,0.25,1133.0,287.0,20.211267605633804,49,0.2543773660034175,5.141289017111325
3200,c-n-1,Y-coord,-1.0-1.0,0.5,945.0,475.0,33.45070422535211,50,0.2347258006863611,7.851743332818416
3201,c-n-2,Y-coord,-1.0-1.0,0.5,841.0,579.0,40.774647887323944,50,0.2347258006863611,9.570861873056554
3202,c-n-3,Y-coord,-1.0-1.0,0.5,885.0,535.0,37.67605633802817,50,0.2347258006863611,8.843542490648112
3203,c-o-1,Y-coord,-1.0-1.0,0.5,1128.0,292.0,20.56338028169014,50,0.2347258006863611,4.826755901437847
3204,c-o-2,Y-coord,-1.0-1.0,0.5,1150.0,270.0,19.014084507042252,50,0.2347258006863611,4.463096210233626
3205,c-o-3,Y-coord,-1.0-1.0,0.5,1099.0,321.0,22.6056338028169,50,0.2347258006863611,5.3061254943888665
3206,c-o-4,Y-coord,-1.0-1.0,0.5,1093.0,327.0,23.028169014084508,50,0.2347258006863611,5.405305410171836
3207,c-o-5,Y-coord,-1.0-1.0,0.5,1142.0,278.0,19.577464788732396,50,0.2347258006863611,4.595336097944252
3208,c-o-6,Y-coord,-1.0-1.0,0.5,1093.0,327.0,23.028169014084508,50,0.2347258006863611,5.405305410171836
3209,c-o-7,Y-coord,-1.0-1.0,0.5,1094.0,326.0,22.95774647887324,50,0.2347258006863611,5.388775424208008
3210,c-o-8,Y-coord,-1.0-1.0,0.5,1107.0,313.0,22.04225352112676,50,0.2347258006863611,5.173885606678241
3211,c-p-1,Y-coord,-1.0-1.0,0.5,1059.0,361.0,25.422535211267604,50,0.2347258006863611,5.967324932941996
3212,c-s-1,Y-coord,-1.0-1.0,0.5,879.0,541.0,38.098591549295776,50,0.2347258006863611,8.94272240643108
3213,n-o-1,Y-coord,-1.0-1.0,0.5,1135.0,285.0,20.070422535211268,50,0.2347258006863611,4.71104599969105
3214,n-o-2,Y-coord,-1.0-1.0,0.5,1150.0,270.0,19.014084507042252,50,0.2347258006863611,4.463096210233626
3215,n-o-3,Y-coord,-1.0-1.0,0.5,1146.0,274.0,19.295774647887324,50,0.2347258006863611,4.52921615408894
3216,n-o-4,Y-coord,-1.0-1.0,0.5,1150.0,270.0,19.014084507042252,50,0.2347258006863611,4.463096210233626
